epoch,auc,loss,lr,precision,recall,recall_1,val_auc,val_loss,val_precision,val_recall,val_recall_1
0,0.538890540599823,0.11227274686098099,3.3333334e-05,0.00943994801491499,0.01497513148933649,0.1955941617488861,0.6596658229827881,0.050298165529966354,0.0,0.0,0.0
1,0.6973536014556885,0.04819586127996445,3.3333334e-05,0.0,0.0,0.0,0.721366286277771,0.04713735356926918,0.0,0.0,0.0
2,0.7248944044113159,0.04682109132409096,3.3333334e-05,0.0,0.0,0.0,0.7269933819770813,0.04660812392830849,0.0,0.0,0.0
3,0.727249264717102,0.04650232568383217,3.3333334e-05,0.0,0.0,0.0,0.7273871302604675,0.04643132910132408,0.0,0.0,0.0
4,0.7273520231246948,0.04638111963868141,3.3333334e-05,0.0,0.0,0.0,0.7288344502449036,0.04631059616804123,0.0,0.0,0.0
5,0.733211874961853,0.04618632420897484,3.3333334e-05,0.0,0.0,0.0,0.7570618987083435,0.045574892312288284,0.0,0.0,0.0
6,0.8230211138725281,0.04199913144111633,3.3333334e-05,0.8944872617721558,0.009172223508358002,0.08934289216995239,0.9074747562408447,0.03206881880760193,0.8030229806900024,0.17430169880390167,0.48594099283218384
7,0.9178546071052551,0.029562626034021378,3.3333334e-05,0.83458012342453,0.19174987077713013,0.49889907240867615,0.9421452283859253,0.025167686864733696,0.74824059009552,0.40192437171936035,0.6687724590301514
8,0.9371676445007324,0.025068631395697594,3.3333334e-05,0.8350816965103149,0.3103604316711426,0.6009038090705872,0.9537308812141418,0.02259373664855957,0.7597773671150208,0.4815700948238373,0.7160735130310059
9,0.9458349943161011,0.022955549880862236,3.3333334e-05,0.8413485884666443,0.3718513548374176,0.6413623094558716,0.9593743681907654,0.020951230078935623,0.774448573589325,0.52121502161026,0.7354310154914856
10,0.9509021639823914,0.02161973901093006,3.3333334e-05,0.8447250723838806,0.4124508202075958,0.6652705073356628,0.9633144736289978,0.019970552995800972,0.7774612903594971,0.5522536039352417,0.7511059641838074
